Time (s)	VDS	IDS	VG	IGS
4.2000000000000003E-2	-1.0000000000000000E+0	-5.3444146885794907E-8	0.0000000000000000E+0	4.0191174832671088E-8
1.0640000000000001E+0	-1.0000000000000000E+0	-2.8770219984153300E-8	5.9999998658895493E-2	3.0365956860123333E-8
1.9970000000000001E+0	-1.0000000000000000E+0	-2.4932266029509261E-8	1.1999999731779100E-1	2.7352584197615218E-8
4.1740000000000004E+0	-1.0000000000000000E+0	-2.7158760573797739E-8	1.8000000715255740E-1	3.0729484734592922E-8
4.9980000000000002E+0	-1.0000000000000000E+0	-2.9372548837613980E-8	2.3999999463558200E-1	3.3653702047331542E-8
5.9989999999999997E+0	-1.0000000000000000E+0	-3.2277299055749609E-8	3.0000001192092901E-1	3.7077285242048668E-8
6.9980000000000002E+0	-1.0000000000000000E+0	-3.5565044242957811E-8	3.6000001430511469E-1	4.1032674147345460E-8
7.9969999999999999E+0	-1.0000000000000000E+0	-3.9883030211740327E-8	4.1999998688697809E-1	4.5367908541038559E-8
8.9979999999999993E+0	-1.0000000000000000E+0	-4.4295418888395943E-8	4.7999998927116388E-1	5.0335049905925189E-8
9.9979999999999993E+0	-1.0000000000000000E+0	-4.9505722188314387E-8	5.4000002145767212E-1	5.5585228864174503E-8
1.0996000000000000E+1	-1.0000000000000000E+0	-3.8831128534866372E-8	4.7999998927116388E-1	3.7872840863428792E-8
1.1996000000000000E+1	-1.0000000000000000E+0	-3.0299187159243963E-8	4.1999998688697809E-1	2.7632713894831798E-8
1.2996000000000000E+1	-1.0000000000000000E+0	-2.3641444357735960E-8	3.6000001430511469E-1	2.0050109128533219E-8
1.3997000000000000E+1	-1.0000000000000000E+0	-1.8490482034394521E-8	3.0000001192092901E-1	1.4217770072377790E-8
1.4997000000000000E+1	-1.0000000000000000E+0	-1.4626860611599570E-8	2.3999999463558200E-1	1.0639679359769619E-8
1.6309999999999999E+1	-1.0000000000000000E+0	-1.1444258873893890E-8	1.8000000715255740E-1	5.7574154332939997E-9
1.6998999999999999E+1	-1.0000000000000000E+0	-9.0505478667068928E-9	1.1999999731779100E-1	2.8343558611254589E-9
1.8000000000000000E+1	-1.0000000000000000E+0	-7.0125580897695272E-9	5.9999998658895493E-2	1.0782480464044400E-10
1.8998000000000001E+1	-1.0000000000000000E+0	-5.3534270350041879E-9	0.0000000000000000E+0	-2.2754549355852301E-9
1.9998000000000001E+1	-1.0000000000000000E+0	-3.9256096151518696E-9	-5.9999998658895493E-2	-4.5733572484607521E-9
2.0998999999999999E+1	-1.0000000000000000E+0	-2.7153372883503830E-9	-1.1999999731779100E-1	-6.7428591599139054E-9
2.2001999999999999E+1	-1.0000000000000000E+0	-2.5127173675087988E-9	-1.8000000715255740E-1	-6.0084941466698183E-9
2.3928000000000001E+1	-1.0000000000000000E+0	-1.1510848940687881E-9	-2.3999999463558200E-1	-9.6588497200400525E-9
2.5009000000000000E+1	-1.0000000000000000E+0	-3.5462380254536191E-10	-3.0000001192092901E-1	-1.2091767587207871E-8
2.5997000000000000E+1	-1.0000000000000000E+0	-1.1749268225003109E-10	-3.6000001430511469E-1	-1.3753080452261200E-8
2.7001000000000001E+1	-1.0000000000000000E+0	-2.1291970964121279E-10	-4.1999998688697809E-1	-1.5268385666900031E-8
2.7998999999999999E+1	-1.0000000000000000E+0	-1.1610508110493360E-9	-4.7999998927116388E-1	-1.6447771145067239E-8
2.8998999999999999E+1	-1.0000000000000000E+0	-3.3591269765764760E-9	-5.4000002145767212E-1	-1.7378663841327580E-8
2.9997000000000000E+1	-1.0000000000000000E+0	-8.2220079633543719E-9	-6.0000002384185791E-1	-1.8083298414239831E-8
3.0997000000000000E+1	-1.0000000000000000E+0	-1.7958164733045120E-8	-6.6000002622604370E-1	-1.7881262692753811E-8
3.2063000000000002E+1	-1.0000000000000000E+0	-3.6934434177737778E-8	-7.2000002861022949E-1	-1.9026112241249390E-8
3.2997999999999998E+1	-1.0000000000000000E+0	-7.1998705664100271E-8	-7.7999997138977051E-1	-1.9476033230603210E-8
3.3997999999999998E+1	-1.0000000000000000E+0	-1.3726854319884299E-7	-8.3999997377395630E-1	-1.9699394115946230E-8
3.5015000000000001E+1	-1.0000000000000000E+0	-2.3538828486380231E-7	-8.9999997615814209E-1	-2.0953702772885659E-8
3.6000000000000000E+1	-1.0000000000000000E+0	-3.9096616433198511E-7	-9.5999997854232788E-1	-2.2243858310844189E-8
3.7000000000000000E+1	-1.0000000000000000E+0	-6.1386276684061159E-7	-1.0199999809265139E+0	-2.4079811922206321E-8
3.7999000000000002E+1	-1.0000000000000000E+0	-9.1081784603375127E-7	-1.0800000429153440E+0	-2.6264084240779081E-8
3.8999000000000002E+1	-1.0000000000000000E+0	-1.2884532907264661E-6	-1.1399999856948850E+0	-2.8469109736306560E-8
4.0015000000000001E+1	-1.0000000000000000E+0	-1.6956042827587230E-6	-1.2000000476837160E+0	-3.2534671845496632E-8
