Time (s)	Vds (V)	Ids (A)	Vgs (V)	Igs (A)
3.9000000000000000E-2	-1.0000000000000000E+0	-1.2858033748841540E-8	0.0000000000000000E+0	3.5202241122078697E-8
1.7589999999999999E+0	-1.0000000000000000E+0	-1.3216400418514240E-8	5.9999998658895493E-2	3.8901411869574083E-8
2.5480000000000000E+0	-1.0000000000000000E+0	-1.3296854284305940E-8	1.1999999731779100E-1	4.0276994184296200E-8
3.5499999999999998E+0	-1.0000000000000000E+0	-1.3661288988942030E-8	1.8000000715255740E-1	4.1334843103868479E-8
4.5480000000000000E+0	-1.0000000000000000E+0	-1.4249431856683261E-8	2.3999999463558200E-1	4.2050789517134042E-8
5.5460000000000003E+0	-1.0000000000000000E+0	-1.5054929747293499E-8	3.0000001192092901E-1	4.2437910963144532E-8
6.5460000000000003E+0	-1.0000000000000000E+0	-1.6151679105291808E-8	3.6000001430511469E-1	4.2413436318611282E-8
7.5659999999999998E+0	-1.0000000000000000E+0	-1.7542099328693439E-8	4.1999998688697809E-1	4.2848348869029002E-8
8.6129999999999995E+0	-1.0000000000000000E+0	-1.9372391690808399E-8	4.7999998927116388E-1	4.4172431046263227E-8
9.5470000000000006E+0	-1.0000000000000000E+0	-2.1654296133988279E-8	5.4000002145767212E-1	4.5546507010385539E-8
1.0547000000000001E+1	-1.0000000000000000E+0	-1.8866204598566579E-8	4.7999998927116388E-1	3.2066214572523677E-8
1.1547000000000001E+1	-1.0000000000000000E+0	-1.6325378382475719E-8	4.1999998688697809E-1	2.3731816511940451E-8
1.2548000000000000E+1	-1.0000000000000000E+0	-1.4031147799187240E-8	3.6000001430511469E-1	1.7305755051211239E-8
1.3548000000000000E+1	-1.0000000000000000E+0	-1.2004268690191109E-8	3.0000001192092901E-1	1.2179482311580611E-8
1.4547000000000001E+1	-1.0000000000000000E+0	-1.0240685632822989E-8	2.3999999463558200E-1	8.0546502800871167E-9
1.5548000000000000E+1	-1.0000000000000000E+0	-8.7249398816879875E-9	1.8000000715255740E-1	4.6512722562397357E-9
1.6547000000000001E+1	-1.0000000000000000E+0	-7.4236035096930663E-9	1.1999999731779100E-1	1.8439054727537041E-9
1.7547999999999998E+1	-1.0000000000000000E+0	-6.3282015183574458E-9	5.9999998658895493E-2	-5.1282644797367993E-10
1.8547000000000001E+1	-1.0000000000000000E+0	-5.3742885697261036E-9	0.0000000000000000E+0	-2.5229334177367950E-9
1.9547000000000001E+1	-1.0000000000000000E+0	-4.7389030477518190E-9	-5.9999998658895493E-2	-2.8387427963849632E-9
2.1405000000000001E+1	-1.0000000000000000E+0	-3.9776564264570879E-9	-1.1999999731779100E-1	-4.8769472904552913E-9
2.2547999999999998E+1	-1.0000000000000000E+0	-3.3360123552483860E-9	-1.8000000715255740E-1	-6.9132091162771303E-9
2.3547000000000001E+1	-1.0000000000000000E+0	-2.7793287671329381E-9	-2.3999999463558200E-1	-8.3374258608159834E-9
2.4611999999999998E+1	-1.0000000000000000E+0	-2.3685218231150880E-9	-3.0000001192092901E-1	-1.0517835491441471E-8
2.5545999999999999E+1	-1.0000000000000000E+0	-2.0270944922629042E-9	-3.6000001430511469E-1	-1.2235808810601160E-8
2.6545999999999999E+1	-1.0000000000000000E+0	-1.8278002444915840E-9	-4.1999998688697809E-1	-1.3897359707470970E-8
2.7547000000000001E+1	-1.0000000000000000E+0	-1.7702818100318041E-9	-4.7999998927116388E-1	-1.5451657731091469E-8
2.8547999999999998E+1	-1.0000000000000000E+0	-1.8926860079204739E-9	-5.4000002145767212E-1	-1.6904699862152480E-8
2.9547000000000001E+1	-1.0000000000000000E+0	-2.2656798659426158E-9	-6.0000002384185791E-1	-1.8187011008308221E-8
3.0547999999999998E+1	-1.0000000000000000E+0	-2.9903530762709352E-9	-6.6000002622604370E-1	-1.9317949906394460E-8
3.1547999999999998E+1	-1.0000000000000000E+0	-4.3132186711147824E-9	-7.2000002861022949E-1	-2.0304154801920049E-8
3.2548000000000002E+1	-1.0000000000000000E+0	-6.6213847738083586E-9	-7.7999997138977051E-1	-2.1176958853175168E-8
3.3548000000000002E+1	-1.0000000000000000E+0	-1.0643756098716040E-8	-8.3999997377395630E-1	-2.1977102804271450E-8
3.4548000000000002E+1	-1.0000000000000000E+0	-1.7444550692857771E-8	-8.9999997615814209E-1	-2.2741783567425948E-8
3.5548000000000002E+1	-1.0000000000000000E+0	-2.8712117128293361E-8	-9.5999997854232788E-1	-2.3472273014135680E-8
3.6546999999999997E+1	-1.0000000000000000E+0	-4.6964647282266008E-8	-1.0199999809265139E+0	-2.4214148908185958E-8
3.7548000000000002E+1	-1.0000000000000000E+0	-7.6036194229800458E-8	-1.0800000429153440E+0	-2.4893640926393349E-8
3.8546999999999997E+1	-1.0000000000000000E+0	-1.2467134524740689E-7	-1.1399999856948850E+0	-2.5334120579145750E-8
3.9564999999999998E+1	-1.0000000000000000E+0	-2.0721900284570441E-7	-1.2000000476837160E+0	-2.4176072699333421E-8
4.1063000000000002E+1	-1.0000000000000000E+0	-2.8282570951887459E-7	-1.2599999904632571E+0	-2.7974582650358570E-8
4.1545999999999999E+1	-1.0000000000000000E+0	-4.2060946725541731E-7	-1.3200000524520870E+0	-2.8769100879344481E-8
4.2548999999999999E+1	-1.0000000000000000E+0	-6.0005345403624233E-7	-1.3799999952316280E+0	-3.0319274202383888E-8
4.3545999999999999E+1	-1.0000000000000000E+0	-8.3126712979719741E-7	-1.4400000572204590E+0	-3.2203509192640922E-8
4.4546999999999997E+1	-1.0000000000000000E+0	-1.1279296359134609E-6	-1.5000000000000000E+0	-3.4148371241826680E-8
4.5564999999999998E+1	-1.0000000000000000E+0	-1.4732909221493169E-6	-1.5599999427795410E+0	-3.6788367907547581E-8
4.6548000000000002E+1	-1.0000000000000000E+0	-1.8852185803552861E-6	-1.6200000047683720E+0	-3.9440060106699093E-8
4.7548000000000002E+1	-1.0000000000000000E+0	-2.3569202767248498E-6	-1.6799999475479130E+0	-4.2357232388212651E-8
4.8548000000000002E+1	-1.0000000000000000E+0	-2.8728602501360001E-6	-1.7400000095367429E+0	-4.5593132824706117E-8
