VG,IDS,IGS,transistor,log_IDS
-0.5,0.0665282,0.0591482,1,-1.1769942267514955
-0.45,0.0564201,0.0492546,1,-1.2485661484286195
-0.4,0.0483453,0.0418051,1,-1.3156457404699338
-0.35,0.0411574,0.0352734,1,-1.3855520683439606
-0.3,0.0349436,0.0300988,1,-1.4566323546594477
-0.25,0.0003118,0.0261364,1,-3.5061238891471773
-0.2,0.0276434,0.0227555,1,-1.5584085419625475
-0.15,0.0245681,0.0001981,1,-1.6096284288443834
-0.1,0.0218566,0.0172128,1,-1.6604173957295059
-0.05,0.0194885,0.0149237,1,-1.7102215865772195
0.0,0.0173844,0.0128817,1,-1.7598402938323663
0.05,0.0155016,0.0110428,1,-1.8096234737452443
0.1,0.0138096,0.00937952,1,-1.8598189007340868
0.15,0.0122814,0.00786386,1,-1.9107521236167877
0.2,0.0109046,0.00647883,1,-1.9623902604822419
0.25,0.00096437,0.00519582,1,-3.0157563082874375
0.3,0.00851166,0.00401237,1,-2.069985732684479
0.35,0.00749956,0.00323581,1,-2.124964215965307
0.4,6.545e-05,0.00211264,1,-4.184090349113225
0.45,0.00568761,0.00011167,1,-2.2450701908744284
0.5,0.00492777,0.000391621,1,-2.3073495707425544
0.55,0.00426335,0.000371554,1,-2.370249012455109
0.6,0.00325602,0.00111455,1,-2.4873129361345065
0.65,0.00311039,0.00196867,1,-2.5071851530217595
0.7,0.00261559,0.00283401,1,-2.5824303317134336
0.75,0.00215839,0.00364259,1,-2.6658700797898875
0.8,0.00174529,0.00440706,1,-2.758132399687303
0.85,0.00149852,0.00470333,1,-2.824337456367536
0.9,0.00110315,0.00558791,1,-2.957365430675748
0.95,0.000796249,0.00629466,1,-3.0989511000817167
1.0,0.000547136,0.00688795,1,-3.2619047089348667
1.05,5.2026e-05,0.00540275,1,-4.2837795633929705
1.1,0.000520684,0.00633819,1,-3.283425767472132
1.15,0.000102393,0.00068672,1,-3.9897297324743133
1.2,0.000233155,0.00729119,1,-3.632355266681178
1.25,9.86351e-05,0.00781766,1,-4.005968510781941
1.3,1.67962e-05,0.00830385,1,-4.774788962661197
1.35,1.51049e-05,0.00826407,1,-4.820882145570572
1.4,4.6497e-05,0.00843032,1,-4.3325750670127565
1.45,0.000472147,0.00859011,1,-3.3259227654559202
1.5,0.000529023,0.00890962,1,-3.2765254460065103
1.55,0.000620206,0.00943104,1,-3.2074640366245113
1.6,0.000403022,0.0105738,1,-3.3946712461223667
1.65,0.000611152,0.0118989,1,-3.2138507626681974
1.7,0.000805849,0.0133449,1,-3.0937463286793148
1.75,8.8905e-05,0.0149046,1,-4.051073813705301
1.8,0.000457798,0.0164963,1,-3.339326108976594
1.85,0.000885978,0.0181611,1,-3.0525770620827304
1.9,0.00390991,0.0198846,1,-2.4078332392673616
1.95,0.0106474,0.0214525,1,-1.972756430113301
2.0,0.0023239,0.0231974,1,-2.6337825640539037
2.05,0.0446464,0.0025056,1,-1.350213554091602
2.1,0.0857647,0.0026839,1,-1.0666914271833208
2.15,0.146095,0.0286439,1,-0.8353646472386509
2.2,0.237914,0.0306121,1,-0.6235800012420472
2.25,0.037465,0.0325898,1,-1.4263742630658802
2.3,0.593656,0.0345252,1,-0.2264651384839725
2.35,0.856091,0.0364246,1,-0.06748006862038711
2.4,1.20173,0.0384811,1,0.07980690303957287
2.45,1.63734,0.0405664,1,0.21413887170985663
2.5,2.17252,0.0042667,1,0.3369637832103046
2.55,2.81258,0.0447775,1,0.44910488420899436
2.6,3.55216,0.0468844,1,0.5504925194804728
2.65,4.39468,0.0048985,1,0.6429272572724045
2.7,5.43243,0.0506872,1,0.7349941388932346
2.75,6.40856,0.0052831,1,0.8067604547434024
2.8,7.47562,0.0548948,1,0.8736472172523408
2.85,8.60613,0.0568946,1,0.9348079020365936
2.9,9.77409,0.0588797,1,0.9900763337021199
2.95,10.9849,0.0060806,1,1.0407961077157126
3.0,1.2215,0.0626871,1,0.08689347130945554
3.05,1.3479,0.0645564,1,0.12965767331268788
3.1,1.4764,0.0664309,1,0.16920403652361954
3.15,16.0703,0.0683464,1,1.2060239842386684
3.2,17.4291,0.0703293,1,1.2412749616868584
3.25,18.8336,0.0723966,1,1.2749333423586402
3.3,20.2647,0.0745716,1,1.3067401788001907
3.35,21.7555,0.0768237,1,1.3375690690006328
3.4,2.3289,0.0791636,1,0.3671508408830793
3.45,24.8748,0.0815952,1,1.3957595975887958
3.5,26.5237,0.0840943,1,1.423634107119575
3.55,28.2074,0.0866607,1,1.450363057169495
3.6,29.9145,0.0892616,1,1.4758817483094149
3.65,31.6709,0.0919467,1,1.5006604050037402
3.7,33.4402,0.0946859,1,1.5242688662142465
3.75,35.2826,0.0974427,1,1.5475605811096522
3.8,37.1216,0.100251,1,1.5696266867331339
3.85,38.9702,0.103112,1,1.5907326346526722
3.9,40.8469,0.106004,1,1.6111591021418596
3.95,4.2693,0.108957,1,0.6303566733719579
4.0,44.5791,0.111926,1,1.6491312963340072
4.05,46.4781,0.114957,1,1.6672483660177857
