Ciclo,VG,IDS (A),IGS (A),Razão IDS/IGS,Razão on/off,direction,Valor Máximo IDS,Valor Mínimo IDS
0,-2.5,9.2177151600481e-06,-9.626116792560424e-08,-95.75735843109696,5719.11031507836,ida,1.030340172292199e-05,1.8015742231369807e-09
1,-2.5,9.581479389453305e-06,-9.765198427658106e-08,-98.11863486885785,7095.555340300798,ida,1.065863307303516e-05,1.5021562882466808e-09
2,-2.5,9.839099220698701e-06,-9.901136621692784e-08,-99.37343152241569,5652.9579467857375,ida,1.092300408345181e-05,1.9322634603469165e-09
3,-2.5,1.027141752274474e-05,-9.759161656575088e-08,-105.24897408400369,5848.489357978354,ida,1.136740411311621e-05,1.9436479092860277e-09
4,-2.5,1.038565642375033e-05,-9.8670504655729e-08,-105.25593701974968,5607.777138671633,ida,1.15088814709452e-05,2.0523072130629316e-09
5,-2.5,1.053473897627555e-05,-1.0185086551928181e-07,-103.43298432040497,5673.9325092803,ida,1.16886849355069e-05,2.0600676720050606e-09
6,-2.5,1.0922610272245952e-05,-9.964710301346712e-08,-109.61292342608076,5659.002366124462,ida,1.209433048643405e-05,2.137184207384735e-09
7,-2.5,1.119452645070851e-05,-1.02927806722164e-07,-108.76095398521625,5538.488200853037,ida,1.237671312992461e-05,2.2346735573108836e-09
8,-2.5,1.1050427019654308e-05,-1.048777136247736e-07,-105.36487341047489,124533.22782888311,ida,1.257563781109639e-05,1.0098218788945347e-10
9,-2.5,1.17191075332812e-05,-1.0225391378071441e-07,-114.60791181463297,129718.31170793448,ida,1.2873470041085968e-05,9.924173288711201e-11
10,-2.5,1.18737216325826e-05,-1.0247921977679651e-07,-115.86467635530403,109394195.83283444,ida,1.304080433328636e-05,1.192092892498067e-13
11,-2.5,1.211303424497601e-05,-9.920735521973256e-08,-122.09814703906854,32585234.100733757,ida,1.3207172742113468e-05,4.053115807388374e-13
12,-2.5,1.2099050763936248e-05,-1.0309839382216521e-07,-117.35440597460659,234309.00102061837,ida,1.331509338342585e-05,5.682706735732346e-11
