Time (s),Vds (V),IDS,VG,IGS,cycle_id,diff_VG,direction,log_IDS
35.548,-1.0,2.871211712829336e-08,-0.959999978542328,-2.347227301413568e-08,0,-0.06000000238418579,ida,-7.541934783009042
36.547,-1.0,4.696464728226601e-08,-1.019999980926514,-2.4214148908185962e-08,0,-0.0600000023841859,ida,-7.328228934989083
37.548,-1.0,7.603619422980044e-08,-1.080000042915344,-2.489364092639335e-08,0,-0.06000006198883012,ida,-7.118979628607752
38.547,-1.0,1.246713452474069e-07,-1.139999985694885,-2.5334120579145754e-08,0,-0.059999942779541016,ida,-6.904233354307904
39.565,-1.0,2.072190028457044e-07,-1.200000047683716,-2.417607269933342e-08,0,-0.06000006198883101,ida,-6.683570420487573
41.063,-1.0,2.828257095188746e-07,-1.2599999904632573,-2.7974582650358567e-08,0,-0.05999994277954124,ida,-6.548481114695933
41.546,-1.0,4.206094672554173e-07,-1.320000052452087,-2.876910087934448e-08,0,-0.06000006198882968,ida,-6.37612095625618
42.549,-1.0,6.000534540362423e-07,-1.379999995231628,-3.031927420238389e-08,0,-0.059999942779541016,ida,-6.221810060018134
43.546,-1.0,8.312671297971975e-07,-1.440000057220459,-3.220350919264092e-08,0,-0.06000006198883101,ida,-6.080259392155308
44.547,-1.0,1.1279296359134607e-06,-1.5,-3.414837124182668e-08,0,-0.059999942779541016,ida,-5.9477179922743675
45.565,-1.0,1.4732909221493167e-06,-1.559999942779541,-3.678836790754759e-08,0,-0.059999942779541016,ida,-5.831711487095659
46.548,-1.0,1.885218580355286e-06,-1.620000004768372,-3.9440060106699086e-08,0,-0.06000006198883101,ida,-5.724638288567607
47.548,-1.0,2.3569202767248494e-06,-1.679999947547913,-4.235723238821265e-08,0,-0.059999942779541016,ida,-5.627655107320412
48.548,-1.0,2.872860250136e-06,-1.7400000095367427,-4.5593132824706124e-08,0,-0.06000006198882968,ida,-5.541685499685376
49.547,-1.0,3.4204958865302606e-06,-1.799999952316284,-4.915774098890324e-08,0,-0.05999994277954124,ida,-5.465910927519298
50.548,-1.0,3.987478976341663e-06,-1.8600000143051152,-5.305402339672582e-08,0,-0.06000006198883123,ida,-5.399301593711032
51.547,-1.0,4.55962072010152e-06,-1.919999957084656,-5.7246982265724e-08,0,-0.059999942779540794,ida,-5.341071281462249
52.548,-1.0,5.132867954671383e-06,-1.980000019073486,-6.171987365632958e-08,0,-0.06000006198883012,ida,-5.289639908015724
53.547,-1.0,5.707674063160084e-06,-2.039999961853027,-6.639826466425802e-08,0,-0.059999942779540794,ida,-5.243540835244256
54.548,-1.0,6.276692147366704e-06,-2.099999904632568,-7.124690881710194e-08,0,-0.059999942779541016,ida,-5.202269171648569
55.548,-1.0,6.840568403276848e-06,-2.160000085830688,-7.59046301368471e-08,0,-0.06000018119812012,ida,-5.1649078099538
56.613,-1.0,7.404451025649905e-06,-2.2200000286102286,-8.157467590308441e-08,0,-0.05999994277954057,ida,-5.130507135031897
57.548,-1.0,7.958963578857947e-06,-2.2799999713897714,-8.702480869260398e-08,0,-0.05999994277954279,ida,-5.099143482675469
58.546,-1.0,8.668804184708279e-06,-2.339999914169312,-8.962104658394311e-08,0,-0.05999994277954057,ida,-5.062040806999077
60.575,-1.0,9.2177151600481e-06,-2.400000095367432,-9.626116792560424e-08,0,-0.06000018119812012,ida,-5.035376716295099
61.546,-1.0,9.755198334460145e-06,-2.4600000381469727,-1.0432195551857151e-07,0,-0.05999994277954057,ida,-5.010763896470797
62.565,-1.0,1.030340172292199e-05,-2.519999980926514,-1.0954141771435391e-07,0,-0.05999994277954146,ida,-4.987019366985145
115.548,-1.0,1.8447661176423935e-08,0.47999998927116394,3.3163249923973126e-08,0,-0.06000003218650818,ida,-7.734058686554187
116.547,-1.0,1.600124832634719e-08,0.4199999868869781,2.458510373060108e-08,0,-0.060000002384185847,ida,-7.795846134838059
117.548,-1.0,1.382789616144464e-08,0.3600000143051147,1.732970567047687e-08,0,-0.0599999725818634,ida,-7.859243890388014
119.316,-1.0,1.1732018023735692e-08,0.300000011920929,1.125017412562102e-08,0,-0.06000000238418568,ida,-7.930627278490417
119.547,-1.0,1.018348960712956e-08,0.239999994635582,8.245659266492565e-09,0,-0.06000001728534701,ida,-7.992103375493631
120.615,-1.0,8.519804417517206e-09,0.1800000071525574,4.667651598566636e-09,0,-0.0599999874830246,ida,-8.06957037487743
121.547,-1.0,7.273352142789235e-09,0.119999997317791,1.891744094706382e-09,0,-0.0600000098347664,ida,-8.138265385346486
122.548,-1.0,6.197536261964841e-09,0.059999998658895486,-4.759192484549145e-10,0,-0.05999999865889551,ida,-8.207780923483067
123.547,-1.0,5.316126205912041e-09,0.0,-2.5281430282575457e-09,0,-0.059999998658895486,ida,-8.274404717368025
124.547,-1.0,4.664647779151209e-09,-0.059999998658895486,-4.3626546819552906e-09,0,-0.059999998658895486,ida,-8.331181143631538
125.547,-1.0,3.744232479618858e-09,-0.119999997317791,-5.972075722837643e-09,0,-0.05999999865889551,ida,-8.426637193726371
126.548,-1.0,3.1858087279346137e-09,-0.1800000071525574,-7.585966521617138e-09,0,-0.0600000098347664,ida,-8.496780302262493
127.548,-1.0,2.6860953461493856e-09,-0.239999994635582,-9.222829611132962e-09,0,-0.0599999874830246,ida,-8.570878575594474
128.546,-1.0,2.291202561011119e-09,-0.300000011920929,-1.086339995737262e-08,0,-0.06000001728534701,ida,-8.639936513935622
129.546,-1.0,2.0026087454994004e-09,-0.3600000143051147,-1.25122667782307e-08,0,-0.06000000238418568,ida,-8.698403891579293
130.546,-1.0,1.8343806473808397e-09,-0.4199999868869781,-1.413376349290729e-08,0,-0.0599999725818634,ida,-8.736510540037846
131.546,-1.0,1.8015742231369807e-09,-0.47999998927116394,-1.566411356179742e-08,0,-0.060000002384185847,ida,-8.744347840655045
132.547,-1.0,1.965034135409383e-09,-0.5400000214576721,-1.708729335803127e-08,0,-0.06000003218650818,ida,-8.70662990091646
133.547,-1.0,2.4033188772421e-09,-0.6000000238418579,-1.8359161302328175e-08,0,-0.06000000238418579,ida,-8.61918860229685
134.548,-1.0,3.182578200977559e-09,-0.6600000262260437,-1.9438147091932482e-08,0,-0.06000000238418579,ida,-8.497220916241227
135.548,-1.0,4.698622380061578e-09,-0.7200000286102295,-2.0063769312628207e-08,0,-0.06000000238418579,ida,-8.328029457050992
136.615,-1.0,7.170891880292628e-09,-0.7799999713897705,-2.1396720839561567e-08,0,-0.059999942779541016,ida,-8.144426825559401
137.547,-1.0,1.319017428613734e-08,-0.8399999737739563,-2.03202841220218e-08,0,-0.06000000238418579,ida,-7.879749465939029
138.991,-1.0,1.847788055897581e-08,-0.8999999761581422,-2.3554015626814362e-08,0,-0.0600000023841859,ida,-7.7333478444973345
139.549,-1.0,3.067026099756731e-08,-0.959999978542328,-2.394565434826745e-08,1,-0.06000000238418579,ida,-7.5132825282457185
140.549,-1.0,5.026879534852924e-08,-1.019999980926514,-2.457666425925709e-08,1,-0.0600000023841859,ida,-7.298701522167091
141.548,-1.0,8.149222452402682e-08,-1.080000042915344,-2.512058117076776e-08,1,-0.06000006198883012,ida,-7.088883826933679
142.548,-1.0,1.335997552587287e-07,-1.139999985694885,-2.54788048437149e-08,1,-0.059999942779541016,ida,-6.874194337443415
143.566,-1.0,2.0436299053017143e-07,-1.200000047683716,-2.629435158496563e-08,1,-0.06000006198883101,ida,-6.6895977507282325
144.55,-1.0,3.0990599952929193e-07,-1.2599999904632573,-2.724250514063442e-08,1,-0.05999994277954124,ida,-6.508770016089712
145.548,-1.0,4.553818655494979e-07,-1.320000052452087,-2.8504359761427616e-08,1,-0.06000006198882968,ida,-6.3416242680744075
