Time (s),Vds (V),IDS,VG,IGS,cycle_id,diff_VG,direction,log_IDS
63.564,-1.0,1.0276889952365312e-05,-2.4600000381469727,-9.164872238898168e-08,0,0.05999994277954146,volta,-4.988138293986665
64.565,-1.0,1.004557543637929e-05,-2.400000095367432,-8.252196437297243e-08,0,0.05999994277954057,volta,-4.99802518069907
65.549,-1.0,9.756009603734128e-06,-2.339999914169312,-7.299294679796729e-08,0,0.06000018119812012,volta,-5.010727780842247
66.564,-1.0,9.461555237066932e-06,-2.2799999713897714,-6.410981256976811e-08,0,0.05999994277954057,volta,-5.024037470853871
67.548,-1.0,9.104196578846311e-06,-2.2200000286102286,-5.609903297454367e-08,0,0.05999994277954279,volta,-5.040758373511997
68.547,-1.0,8.715920557733625e-06,-2.160000085830688,-4.867654013196443e-08,0,0.05999994277954057,volta,-5.059686736835046
69.548,-1.0,8.284143405035138e-06,-2.099999904632568,-4.1789256499669136e-08,0,0.06000018119812012,volta,-5.081752391734599
70.548,-1.0,7.825989086995833e-06,-2.039999961853027,-3.53336453429165e-08,0,0.059999942779541016,volta,-5.106460762039836
71.548,-1.0,7.32953185433871e-06,-1.980000019073486,-2.985023428436762e-08,0,0.059999942779540794,volta,-5.134923763362993
72.614,-1.0,6.801759809604846e-06,-1.919999957084656,-2.380970798299131e-08,0,0.06000006198883012,volta,-5.167378708364045
73.54699999999998,-1.0,6.2475369304593195e-06,-1.8600000143051152,-1.878233035768062e-08,0,0.059999942779540794,volta,-5.2042911679910615
74.548,-1.0,5.675960437656613e-06,-1.799999952316284,-1.414563666202184e-08,0,0.06000006198883123,volta,-5.24596064030535
75.546,-1.0,5.090285412734374e-06,-1.7400000095367427,-9.985137161550028e-09,0,0.05999994277954124,volta,-5.29325786605214
76.546,-1.0,4.503108357312158e-06,-1.679999947547913,-6.313860545503757e-09,0,0.06000006198882968,volta,-5.346487602578139
77.546,-1.0,3.924312295566779e-06,-1.620000004768372,-3.0428528585701997e-09,0,0.059999942779541016,volta,-5.406236438895401
78.546,-1.0,3.381332135177217e-06,-1.559999942779541,-9.461641470309699e-10,0,0.06000006198883101,volta,-5.470912168071797
80.161,-1.0,2.901753077821922e-06,-1.5,3.2361506807632164e-09,0,0.059999942779541016,volta,-5.537339546240767
80.54699999999998,-1.0,2.392754595348379e-06,-1.440000057220459,4.413807541681081e-09,0,0.059999942779541016,volta,-5.621101841023521
81.569,-1.0,1.970812036233838e-06,-1.379999995231628,6.578135369750271e-09,0,0.06000006198883101,volta,-5.705354794045811
82.549,-1.0,1.6093050589915947e-06,-1.320000052452087,8.317947219893538e-09,0,0.059999942779541016,volta,-5.793361623471525
83.549,-1.0,1.305470391343988e-06,-1.2599999904632573,1.006035788009285e-08,0,0.06000006198882968,volta,-5.884232973723644
84.54699999999998,-1.0,1.053177129506366e-06,-1.200000047683716,1.185281295335017e-08,0,0.05999994277954124,volta,-5.977498580478454
85.548,-1.0,8.440314331892295e-07,-1.139999985694885,1.3541651355808428e-08,0,0.06000006198883101,volta,-6.073641379196111
86.56399999999998,-1.0,6.826780918345321e-07,-1.080000042915344,1.580442265947113e-08,0,0.059999942779541016,volta,-6.165784034087005
87.548,-1.0,5.503925990524295e-07,-1.019999980926514,1.77145249580235e-08,0,0.06000006198883012,volta,-6.2593274145478
88.613,-1.0,4.444403600700753e-07,-0.959999978542328,2.044188995853347e-08,0,0.0600000023841859,volta,-6.352186509227515
89.548,-1.0,3.58633400310282e-07,-0.8999999761581422,2.2918129616300575e-08,0,0.06000000238418579,volta,-6.445349266098542
90.548,-1.0,2.8855885148004756e-07,-0.8399999737739563,2.5397634217938496e-08,0,0.0600000023841859,volta,-6.539765599262158
91.548,-1.0,2.309910058784226e-07,-0.7799999713897705,2.7786946077412722e-08,0,0.06000000238418579,volta,-6.6364049299494825
92.548,-1.0,1.8323362382943737e-07,-0.7200000286102295,3.006960014317883e-08,0,0.059999942779541016,volta,-6.7369948292288
93.546,-1.0,1.437429233419607e-07,-0.6600000262260437,3.219899014084149e-08,0,0.06000000238418579,volta,-6.842413527015293
94.546,-1.0,1.1130416055493701e-07,-0.6000000238418579,3.419959426764764e-08,0,0.06000000238418579,volta,-6.9534886014130075
95.546,-1.0,8.21656342964161e-08,-0.5400000214576721,3.600031206474341e-08,0,0.06000000238418579,volta,-7.085309787765883
